id,case_numbe,QUAD
7235174,1.01004E+11,SE
7235247,1.01004E+11,SW
7235344,1.01004E+11,NE
7235353,1.01004E+11,NE
7235398,1.01004E+11,SE
7235430,1.01004E+11,SE
7235472,1.01004E+11,NE
7235474,1.01004E+11,NE
7235476,1.01004E+11,NE
7235479,1.01004E+11,NE
7236032,1.01004E+11,SW
7236122,1.01004E+11,NW
7236167,1.01004E+11,SE
7236275,1.01004E+11,SW
7236736,1.01004E+11,NE
7236788,1.01004E+11,NE
7237153,1.01004E+11,SW
7237183,1.01004E+11,NW
7237187,1.01004E+11,NW
7237283,1.01004E+11,NW
7237291,1.01004E+11,SW
7237392,1.01004E+11,SW
7237556,1.01004E+11,NE
7237597,1.01004E+11,NW
7237706,1.01004E+11,NW
7237707,1.01004E+11,NW
7237708,1.01004E+11,NW
7237726,1.01004E+11,SW
7237759,1.01004E+11,SE
7237811,1.01004E+11,NW
7237813,1.01004E+11,NW
7238053,1.01004E+11,SE
7238080,1.01004E+11,NW
7238081,1.01004E+11,NW
7238089,1.01004E+11,NW
7238127,1.01004E+11,NW
7238218,1.01004E+11,SW
7238306,1.01004E+11,SW
7238329,358088-101003595892,SE
7238384,358244-101003595947,NE
7238426,358338-101003595989,NW
7238541,1.01004E+11,SW
7238588,1.01004E+11,SE
7238627,358533-101003596194,SW
7238723,1.01004E+11,SE
7238804,1.01004E+11,SE
7238817,1.01004E+11,NW
7238836,1.01004E+11,NW
7238858,1.01004E+11,SW
7238897,1.01004E+11,SE
7238923,1.01004E+11,NE
7238928,1.01004E+11,SW
7238933,1.01004E+11,SW
7238934,1.01004E+11,SW
7239065,1.01004E+11,NW
7239082,1.01004E+11,NE
7239119,1.01004E+11,NE
7239229,1.01004E+11,NE
7239230,1.01004E+11,NE
7239235,1.01004E+11,NE
7239434,1.01004E+11,SW
7239487,1.01004E+11,SE
7239507,1.01004E+11,SW
7239525,1.01004E+11,SW
7239696,1.01004E+11,NW
7239730,1.01004E+11,NW
7239902,1.01004E+11,NW
7239913,1.01004E+11,SE
7239915,1.01004E+11,NW
7240052,1.01004E+11,NW
7240381,1.01004E+11,NW
7240394,1.01004E+11,NW
7240479,1.01004E+11,NW
7240481,1.01004E+11,NW
7240487,1.01004E+11,NW
7240489,1.01004E+11,NW
7240656,1.01004E+11,SE
7240804,1.01004E+11,SW
7240832,1.01004E+11,SW
7240925,1.01004E+11,NW
7241023,1.01004E+11,NW
7241048,358606-101003598927,SE
7241091,358723-101003598970,NE
7241094,358736-101003598973,SW
7241097,358741-101003598976,SW
7241119,358799-101003598998,SE
7241241,1.01004E+11,SW
7241317,1.01004E+11,NE
7241376,358890-101003599264,NE
7241425,1.01004E+11,NE
7241728,1.01004E+11,NE
7241794,1.01004E+11,SW
7241901,1.01004E+11,SW
7242016,1.01004E+11,NE
7242137,1.01004E+11,NW
7242142,1.01004E+11,NW
7242231,1.01004E+11,NE
7242241,1.01004E+11,NE
7242403,1.01004E+11,SW
7242408,1.01004E+11,SW
7242462,1.01004E+11,SW
7242502,1.01004E+11,SW
7242622,1.01004E+11,NW
7242635,1.01004E+11,NW
7242770,1.01004E+11,SE
7242779,1.01004E+11,SW
7242998,1.01004E+11,SW
7243034,1.01004E+11,SE
7243035,1.01004E+11,SW
7243167,1.01004E+11,SW
7243593,1.01004E+11,NE
7243672,359070-101003601865,NW
7243697,359113-101003601890,NE
7243727,359152-101003601920,SW
7243895,1.01004E+11,SW
7243962,1.01004E+11,SW
7243970,1.01004E+11,SW
7244136,1.01004E+11,NW
7244176,1.01004E+11,SW
7244279,1.01004E+11,NE
7244339,1.01004E+11,SW
7244385,1.01004E+11,NW
7244655,359311-101003602966,NE
7244669,1.01004E+11,NE
7244670,1.01004E+11,NE
7244728,1.01004E+11,SW
7244730,1.01004E+11,SW
7245017,1.01004E+11,NE
7245214,1.01004E+11,NW
7245257,1.01004E+11,SE
7245541,1.01004E+11,NW
7245588,1.01004E+11,SW
7245593,359502-101003603977,SE
7245619,1.01004E+11,NW
7245714,1.01004E+11,NE
7245753,1.01004E+11,SE
7245847,1.01004E+11,SE
7245863,1.01004E+11,NE
7245867,1.01004E+11,NE
7245869,1.01004E+11,NE
7245901,359309-101003604290,NE
7245924,359546-101003604313,NE
7245945,359602-101003604334,NW
7246053,1.01004E+11,NW
7246060,1.01004E+11,NE
7246083,1.01004E+11,SW
7246111,359652-101003604508,NW
7246138,359655-101003604535,SW
7246163,359662-101003604561,SW
7246299,359672-101003604711,NW
7246320,1.01004E+11,SW
7246336,1.01004E+11,SW
7246584,1.01004E+11,NW
7246862,1.01004E+11,SW
7246917,1.01004E+11,SW
7246990,1.01004E+11,SE
7247126,1.01004E+11,SE
7247250,359632-101003605836,SW
7247324,1.01004E+11,SW
7247606,1.01004E+11,NE
7247802,1.01004E+11,NW
7247908,1.01004E+11,NE
7247930,359864-101003606565,SE
7248027,1.01004E+11,NE
7248033,1.01004E+11,SW
7248076,1.01004E+11,SW
7248323,1.01004E+11,NE
7248785,1.01004E+11,SW
7248942,1.01004E+11,SW
7249094,1.01004E+11,NE
7249185,1.01004E+11,SW
7249262,1.01004E+11,SW
7249499,1.01004E+11,SW
7249581,1.01004E+11,NE
7249722,1.01004E+11,SW
7249958,360009-101003608818,SW
7250259,1.01004E+11,NE
7250406,1.01004E+11,SW
7250443,1.01004E+11,NW
7250714,1.01004E+11,SW
7250757,1.01004E+11,NW
7250922,1.01004E+11,SE
7251229,1.01004E+11,SW
7251491,1.01004E+11,SW
7251595,1.01004E+11,NE
7251649,1.01004E+11,NW
7251718,1.01004E+11,SE
7251721,1.01004E+11,NW
7251912,1.01004E+11,SW
7251984,1.01004E+11,NW
7252033,1.01004E+11,NW
7252134,1.01004E+11,NE
7252135,1.01004E+11,NE
7252175,1.01004E+11,NW
7252291,1.01004E+11,SW
7252629,1.01004E+11,SW
7252641,1.01004E+11,SW
7252745,1.01004E+11,SW
7252854,1.01004E+11,NW
7252857,1.01004E+11,SE
7252915,1.01004E+11,SW
7252995,1.01004E+11,SE
7253131,1.01004E+11,SW
7253248,1.01004E+11,SW
7253432,360465-101003612622,NW
7253439,360482-101003612629,NW
7253515,360676-101003612705,NE
7253613,360767-101003612803,NW
7253633,1.01004E+11,NE
7253638,1.01004E+11,NE
7253761,1.01004E+11,NE
7253890,1.01004E+11,SW
7253925,1.01004E+11,SE
7254088,1.01004E+11,SE
7254104,1.01004E+11,SW
7254105,1.01004E+11,SW
7254175,1.01004E+11,SE
7254318,1.01004E+11,NE
7254488,1.01004E+11,SE
7254786,360812-101003614185,NW
7254993,1.01004E+11,NE
7255182,1.01004E+11,SW
7255184,1.01004E+11,SW
7255433,1.01004E+11,NW
7255529,1.01004E+11,NE
7255653,1.01004E+11,NW
7255915,1.01004E+11,NW
7255984,1.01004E+11,NW
7256050,360981-101003615737,SW
7256136,1.01004E+11,NE
7256227,1.01004E+11,SW
7256249,1.01004E+11,SW
7256439,361179-101003616140,NW
7256538,361185-101003616245,SE
7256549,1.01004E+11,SW
7256955,1.01004E+11,SE
7257111,1.01004E+11,NE
7257176,1.01004E+11,SW
7257238,1.01004E+11,NW
7257486,1.01004E+11,SE
7257526,1.01004E+11,SW
7257682,1.01004E+11,SE
7258149,1.01004E+11,SE
7258165,1.01004E+11,NE
7258296,1.01004E+11,SW
7258396,1.01004E+11,SW
7258633,361354-101003618607,NW
7258683,361483-101003618657,NE
7258967,1.01004E+11,SE
7259098,1.01004E+11,SE
7259132,1.01004E+11,SW
7259238,1.01004E+11,NE
7259341,361588-101003619394,SE
7259395,1.01004E+11,NW
7259397,1.01004E+11,NW
7259413,1.01004E+11,NE
7259456,1.01004E+11,SW
7259765,1.01004E+11,SW
7260635,1.01004E+11,NE
7260761,1.01004E+11,NW
7260765,1.01004E+11,NW
7260784,1.01004E+11,NW
7261153,1.01004E+11,NE
7261156,1.01004E+11,SW
7261280,1.01004E+11,NE
7261308,1.01004E+11,SW
7261635,1.01004E+11,NW
7261893,361921-101003622342,NW
7261944,362055-101003622393,NW
7261945,362057-101003622394,NW
7261954,362078-101003622403,NE
7261960,1.01004E+11,NW
7261964,1.01004E+11,SW
7261986,1.01004E+11,NW
7261990,1.01004E+11,SW
7262254,1.01004E+11,SW
7262304,1.01004E+11,NW
7262462,1.01004E+11,SE
7262585,1.01004E+11,SE
7262646,1.01004E+11,SW
7262848,1.01004E+11,SW
7262850,1.01004E+11,SW
7262888,1.01004E+11,SW
7263149,1.01004E+11,SW
7263226,362108-101003623814,NW
7263253,362174-101003623841,SW
7263537,1.01004E+11,NW
7263564,362337-101003624160,NE
7263660,1.01004E+11,SE
7263723,1.01004E+11,NE
7263724,1.01004E+11,NE
7263910,1.01004E+11,NE
7264140,1.01004E+11,NW
7264179,1.01004E+11,SE
7264222,1.01004E+11,SE
7264245,1.01004E+11,SE
7264249,1.01004E+11,NW
7264484,1.01004E+11,NW
7264493,1.01004E+11,NW
7264712,1.01004E+11,SE
7264849,362482-101003625541,SE
7264878,1.01004E+11,SE
7265132,1.01004E+11,SW
7265202,1.01004E+11,SE
7265234,362523-101003625968,NW
7265400,1.01004E+11,NW
7266232,1.01004E+11,SW
7266348,362671-101003627251,NW
7266757,362708-101003627716,SE
7266765,1.01004E+11,SE
7266780,1.01004E+11,NE
7266918,1.01004E+11,SE
7266977,1.01004E+11,NE
7267122,1.01004E+11,NE
7267200,1.01004E+11,NE
7267205,362765-101003628223,SE
7267274,1.01004E+11,NE
7267275,1.01004E+11,NE
7267437,1.01004E+11,SE
7267471,1.01004E+11,NW
7267482,1.01004E+11,SW
7267876,1.01004E+11,SW
7267989,1.01004E+11,SW
7268081,1.01004E+11,SW
7268121,362843-101003629167,SW
7268179,363016-101003629225,NW
7268407,363147-101003629461,NW
7268414,1.01004E+11,NE
7268498,1.01004E+11,SW
7268549,363199-101003629605,SW
7268579,1.01004E+11,NW
7268699,1.01004E+11,SE
7268729,1.01004E+11,SE
7268849,1.01004E+11,SE
7268941,1.01004E+11,NW
7269015,1.01004E+11,NE
7269048,1.01004E+11,SW
7269064,1.01004E+11,NW
7269066,1.01004E+11,NW
7269146,1.01004E+11,SE
7269343,1.01004E+11,SW
7269817,363252-101003631154,NW
7269937,363406-101003631275,NW
7269960,1.01004E+11,SE
7270023,1.01004E+11,SW
7270024,1.01004E+11,SW
7270039,1.01004E+11,NW
7270113,1.01004E+11,NE
7270139,1.01004E+11,NE
7270431,1.01004E+11,NE
7270846,1.01004E+11,NE
7270869,1.01004E+11,SW
7270894,1.01004E+11,SE
7270899,363474-101003632388,SW
7271089,1.01004E+11,SW
7271347,1.01004E+11,NE
7271407,363551-101003632976,NW
7271433,363564-101003633002,NW
7271472,363573-101003633042,NE
7271831,1.01004E+11,NW
7271909,1.01004E+11,SE
7272000,1.01004E+11,NW
7272001,1.01004E+11,NW
7272003,1.01004E+11,NW
7272150,1.01004E+11,SE
7272158,1.01004E+11,SW
7272230,1.01004E+11,SW
7272480,1.01004E+11,NW
7272713,1.01004E+11,SW
7272915,1.01004E+11,SE
7272924,363815-101003634664,NW
7272926,1.01004E+11,SW
7273078,1.01004E+11,NE
7273151,1.01004E+11,SE
7273296,1.01004E+11,SW
7273360,1.01004E+11,SW
7273439,363873-101003635229,NW
7274026,363942-101003635947,SW
7274063,1.01004E+11,SE
7274129,1.01004E+11,SW
7274336,1.01004E+11,NW
7274602,1.01004E+11,NW
7274603,1.01004E+11,NW
7274962,1.01004E+11,NE
7275007,1.01004E+11,SE
7275242,1.01004E+11,SE
7275302,1.01004E+11,SW
7275319,1.01004E+11,NE
7275327,1.01004E+11,NE
7275608,1.01004E+11,SW
7275610,1.01004E+11,SW
7275669,1.01004E+11,SE
7276243,364109-101003638456,NW
7276261,364145-101003638474,SW
7276326,364288-101003638540,SW
7276497,1.01004E+11,SE
7276503,364439-101003638724,NW
7276534,364447-101003638757,NW
7276678,1.01004E+11,NW
7276683,364467-101003638920,SE
7276717,1.01004E+11,NW
7277071,1.01004E+11,NE
7277222,1.01004E+11,SW
7277581,1.01004E+11,NW
7277796,1.01004E+11,SW
7277802,1.01004E+11,SE
7277848,1.01004E+11,SE
7277892,1.01004E+11,SE
7278012,364618-101003640430,SE
7278277,1.01004E+11,SW
7278279,1.01004E+11,SW
7278322,1.01004E+11,SW
7278355,1.01004E+11,SE
7278422,1.01004E+11,NE
7278425,1.01004E+11,NE
7278495,1.01004E+11,SW
7278568,1.01004E+11,NW
7278598,1.01004E+11,SW
7278617,1.01004E+11,NE
7278902,1.01004E+11,SE
7278938,1.01004E+11,NW
7278949,1.01004E+11,NW
7279260,364783-101003641834,SW
7279326,1.01004E+11,NW
7279359,1.01004E+11,SW
7279491,1.01004E+11,NW
7279636,1.01004E+11,SW
7280015,1.01004E+11,NE
7280304,1.01004E+11,SE
7280367,1.01004E+11,NW
7280416,1.01004E+11,NE
7280447,1.01004E+11,NW
7280453,1.01004E+11,NE
7280454,1.01004E+11,NE
7280465,1.01004E+11,SW
7280695,1.01004E+11,NE
7280963,1.01004E+11,SW
7281124,1.01004E+11,SW
7281744,1.01004E+11,SW
7281751,1.01004E+11,NW
7281776,1.01004E+11,SE
7281871,1.01004E+11,SW
7282433,1.01004E+11,SW
7282480,1.01004E+11,NE
7282484,1.01004E+11,NE
7282487,1.01004E+11,SW
7282490,1.01004E+11,SW
7282537,1.01004E+11,SW
7282555,1.01004E+11,NE
7282564,1.01004E+11,SE
7283266,364976-101003646252,NE
7283274,364994-101003646261,NE
7283275,364995-101003646262,SW
7283354,365219-101003646343,NE
7283355,365221-101003646344,NE
7283373,365264-101003646362,SE
7283423,365379-101003646412,NW
7283435,1.01004E+11,SW
7283446,1.01004E+11,SE
7283589,1.01004E+11,NW
7283598,1.01004E+11,NE
7283620,1.01004E+11,NW
7283655,1.01004E+11,SW
7283656,1.01004E+11,SW
7283657,1.01004E+11,SW
7283863,1.01004E+11,NW
7283866,1.01004E+11,NW
7283958,1.01004E+11,NW
7283959,1.01004E+11,NW
7283972,1.01004E+11,NE
7283975,1.01004E+11,NE
7284351,1.01004E+11,SW
7284374,1.01004E+11,NW
7284398,1.01004E+11,NE
7284448,1.01004E+11,NW
7284648,365696-101003647803,NE
7284767,365632-101003647922,NW
7284785,365700-101003647939,NW
7285248,1.01004E+11,NW
7285524,1.01004E+11,NE
7285733,1.01004E+11,NW
7285964,365838-101003649224,NW
7286071,1.01004E+11,SW
7286195,1.01004E+11,SE
7286240,1.01004E+11,SW
7286289,1.01004E+11,SW
7286561,1.01004E+11,NE
7286687,1.01004E+11,NE
7286733,1.01004E+11,SW
7287017,365972-101003650361,SE
7287090,1.01004E+11,NW
7287129,1.01004E+11,NE
7287156,1.01004E+11,NE
7287164,1.01004E+11,NE
7287393,1.01004E+11,SW
7287530,1.01004E+11,NE
7287922,1.01004E+11,SW
7288245,1.01004E+11,NE
7288290,1.01004E+11,NE
7288339,1.01004E+11,NE
7288429,1.01004E+11,NE
7288441,1.01004E+11,SE
7288853,1.01004E+11,NE
7288923,1.01004E+11,NW
7288929,1.01004E+11,NE
7288972,1.01004E+11,NE
7288994,1.01004E+11,NE
7288998,1.01004E+11,NE
7289061,1.01004E+11,NE
7289062,1.01004E+11,NE
7289065,1.01004E+11,NE
7289131,1.01004E+11,NE
7289230,1.01004E+11,NE
7289238,1.01004E+11,NE
7289248,1.01004E+11,NE
7289290,1.01004E+11,NE
7289320,1.01004E+11,SW
7289416,1.01004E+11,NW
7289438,1.01004E+11,SW
7289439,1.01004E+11,SW
7289469,1.01004E+11,NE
7289669,1.01004E+11,NE
7289679,1.01004E+11,NE
7289682,1.01004E+11,NE
7289700,1.01004E+11,NE
7289706,1.01004E+11,NE
7289708,1.01004E+11,SW
7289709,1.01004E+11,NE
7289729,1.01004E+11,NE
7289789,1.01004E+11,NE
7289794,1.01004E+11,NE
7289811,1.01004E+11,NE
7289828,1.01004E+11,NE
7289833,1.01004E+11,NE
7289846,1.01004E+11,NE
7289894,1.01004E+11,NE
7289901,1.01004E+11,NE
7289903,1.01004E+11,NE
7289921,1.01004E+11,NE
7289935,1.01004E+11,NE
7289975,1.01004E+11,NE
7289976,1.01004E+11,NE
7289981,1.01004E+11,NE
7290000,1.01004E+11,NE
7290010,1.01004E+11,SW
7290012,1.01004E+11,SW
7290013,1.01004E+11,NE
7290016,1.01004E+11,NE
7290045,1.01004E+11,NE
7290091,1.01004E+11,NE
7290118,1.01004E+11,NE
7290142,1.01004E+11,NE
7290152,1.01004E+11,NE
7290162,1.01004E+11,NW
7290181,1.01004E+11,SW
7290213,1.01004E+11,NE
7290229,1.01004E+11,NE
7290260,1.01004E+11,NE
7290268,1.01004E+11,NE
7290314,1.01004E+11,SE
7290329,1.01004E+11,SW
7290336,1.01004E+11,NE
7290380,1.01004E+11,NE
7290402,1.01004E+11,NE
7290403,1.01004E+11,NE
7290448,1.01004E+11,SW
7290513,1.01004E+11,NW
7290577,1.01004E+11,NE
7290662,1.01004E+11,NW
7290675,1.01004E+11,NE
7290729,1.01004E+11,NE
7290734,1.01004E+11,NE
7290746,1.01004E+11,NE
7290749,1.01004E+11,NE
7290764,1.01004E+11,NE
7290794,1.01004E+11,NE
7290820,1.01004E+11,NE
7290843,1.01004E+11,NE
7290857,1.01004E+11,NE
7290864,1.01004E+11,SW
7290870,1.01004E+11,NE
7290907,1.01004E+11,NE
7290978,1.01004E+11,SW
7291023,1.01004E+11,NE
7291060,1.01004E+11,NE
7291081,1.01004E+11,NE
7291091,1.01004E+11,NE
7291101,1.01004E+11,NE
7291112,1.01004E+11,SE
7291115,1.01004E+11,NE
7291116,1.01004E+11,SE
7291131,1.01004E+11,NE
7291238,1.01004E+11,NE
7291260,1.01004E+11,NE
7291267,1.01004E+11,NE
7291320,1.01004E+11,NE
7291357,1.01004E+11,NE
7291363,1.01004E+11,NE
7291364,1.01004E+11,SE
7291415,1.01004E+11,NE
7291428,1.01004E+11,NE
7291456,1.01004E+11,NE
7291480,1.01004E+11,NE
7291481,1.01004E+11,NE
7291498,1.01004E+11,NE
7291512,1.01004E+11,NE
7291563,1.01004E+11,NE
7291638,1.01004E+11,NE
7291682,1.01004E+11,NE
7291708,1.01004E+11,NE
7291733,1.01004E+11,NE
7291782,1.01004E+11,NE
7291783,1.01004E+11,NE
7291943,1.01004E+11,NE
7291955,1.01004E+11,NE
7292004,1.01004E+11,NE
7292019,1.01004E+11,NW
7292038,1.01004E+11,NE
7292048,1.01004E+11,NE
7292064,1.01004E+11,NE
7292099,1.01004E+11,NW
7292100,1.01004E+11,NE
7292101,1.01004E+11,NW
7292124,1.01004E+11,NE
7292136,1.01004E+11,NE
7292141,1.01004E+11,NE
7292142,1.01004E+11,NE
7292165,1.01004E+11,NE
7292173,1.01004E+11,NE
7292197,1.01004E+11,NE
7292200,1.01004E+11,NE
7292356,1.01004E+11,NE
7292388,1.01004E+11,NE
7292394,1.01004E+11,NE
7292406,1.01004E+11,NE
7292412,1.01004E+11,NE
7292420,1.01004E+11,NE
7292423,1.01004E+11,NE
7292455,1.01004E+11,NE
7292467,1.01004E+11,SE
7292490,1.01004E+11,NE
7292491,1.01004E+11,NE
7292547,1.01004E+11,NE
7292579,1.01004E+11,NE
7292588,1.01004E+11,NE
7292617,1.01004E+11,NE
7292712,1.01004E+11,NE
7292737,1.01004E+11,NE
7292779,1.01004E+11,NE
7292793,1.01004E+11,NE
7292798,1.01004E+11,NE
7292800,1.01004E+11,NW
7292864,1.01004E+11,NW
7292876,1.01004E+11,SE
7292892,1.01004E+11,NE
7292938,1.01004E+11,NE
7292968,1.01004E+11,NW
7292970,1.01004E+11,NE
7293128,366305-101003657134,NE
7293131,366307-101003657137,NE
7293132,366309-101003657138,NE
7293319,1.01004E+11,SW
7293350,1.01004E+11,NE
7293353,1.01004E+11,NE
7293357,1.01004E+11,NE
7293562,1.01004E+11,NE
7293567,1.01004E+11,NE
7293581,1.01004E+11,NE
7293587,1.01004E+11,SE
7293634,1.01004E+11,NE
7293644,1.01004E+11,NE
7293677,1.01004E+11,NE
7293688,1.01004E+11,NE
7293697,1.01004E+11,NE
7293709,1.01004E+11,NE
7293728,1.01004E+11,NE
7293743,1.01004E+11,NE
7293867,1.01004E+11,NE
7293890,1.01004E+11,NE
7293907,1.01004E+11,NE
7293910,1.01004E+11,NE
7293935,1.01004E+11,SE
7293938,1.01004E+11,SE
7293940,1.01004E+11,NE
7293951,1.01004E+11,NE
7293960,1.01004E+11,NE
7293979,1.01004E+11,NE
7293983,1.01004E+11,NE
7293990,1.01004E+11,NE
7294004,1.01004E+11,NE
7294041,1.01004E+11,SE
7294055,1.01004E+11,NE
7294072,1.01004E+11,NE
7294081,1.01004E+11,NW
7294086,1.01004E+11,NE
7294113,1.01004E+11,SW
7294133,1.01004E+11,NW
7294137,1.01004E+11,NE
7294211,1.01004E+11,NE
7294268,1.01004E+11,NE
7294367,1.01004E+11,NE
7294433,1.01004E+11,NE
7294451,1.01004E+11,NE
7294472,1.01004E+11,NE
7294490,1.01004E+11,NE
7294516,1.01004E+11,NE
7294524,1.01004E+11,SE
7294533,1.01004E+11,NE
7294644,1.01004E+11,NE
7294906,1.01004E+11,SE
7295079,1.01004E+11,NE
7295167,1.01004E+11,NE
7295251,1.01004E+11,NE
7295303,1.01004E+11,NE
7295463,1.01004E+11,SE
7295476,366895-101003659724,SE
7295480,1.01004E+11,NE
7295497,1.01004E+11,SE
7295520,366899-101003659770,SE
7295575,1.01004E+11,NE
7295583,1.01004E+11,NE
7295680,366916-101003659943,NW
7295718,1.01004E+11,NE
7295751,1.01004E+11,SE
7295766,1.01004E+11,NE
